did,beta_merit,n_posts_analyzed
did:plc:24otxdgx2fwuvqfx2spgl3c3,8872.850268231263,1
did:plc:24owre4eqdaq3lbpmcyuawj5,12.283624417102299,2
did:plc:24p7kazeyrus3rmo5j4itqyc,47.83876387676512,9
did:plc:24pkly54a2hlue6vg63jvbqs,2.0218008800639455,224
did:plc:24ptdybi7sppuzajjpt5kweq,36.32683594109402,15
did:plc:24pyoxpets7gehwxoz6ef2yj,20.201263411647986,1
did:plc:24q2z5aqljukjks224pqwimh,13.479265376756523,3
did:plc:24qkyzbtxb223fopkbwfjb2o,19.182409394614844,105
did:plc:24qmb7ofn67in2ocmaa7xwke,39.83834603871905,37
did:plc:24qmsfyl4bp5rtzif6itjjl2,63.670566990703854,8
did:plc:24qqgdunxieaqbo3o3w242s4,14.855944146706237,183
did:plc:24qx2ubo2w3wjeqjeyoc3xwi,58.63874809035068,8
did:plc:24r5xskcrx2d6sf5zccnjxov,1.4221345480967489,106
did:plc:24rlnk7bcu2rofhoheapddte,1.533403470142794,75
did:plc:24sai4pxczf2zadl45v4eoky,23.14327250382756,293
did:plc:24scokz5ziqbh3rex2vmcpya,43.31295339482405,29
did:plc:24sgxdlbxabrqazkrz4awpc5,83.94308122278609,57
did:plc:24tgzfseosu2hgaziy5s7sva,5.483678017308496,56
did:plc:24u4zjxzpxljxqqc45pvr3eb,7.077541963774478,1693
did:plc:24uo7tizyqdyy43kvvfjqbar,3.5045207044612767,5
did:plc:24v4vynzohmrt6meran46rym,91.75359352639235,18
did:plc:24vj2pjbn5kbmdlnsglayai7,52.61298229748578,3
did:plc:24vulh4rnnqzznduz55lqgpl,23.844673789475646,10
did:plc:24vva42nxim6zbcmnozegoef,19.58224716726949,263
